habit_id;name;periodicity;description;days_ago;time
1;No-Spend Day;7;Have a day without spending money at least once a week;63;14:42:40
2;Read 10 Pages;1;Read 10 pages of any book;51;14:51:13
4;Journal;1;Capture my day by writing in my journal;45;10:51:41
6;Call Gramps;14;Call Grandpa regularly;36;18:02:58
7;Go for a Run;4;Go outside for a run at least about twice a week;29;08:57:23
8;Test1;2;Have a day without spending money at least once a week;15;08:57:23
9;Test2;3;Read 10 pages of any book;14;08:57:23
10;Test3;4;Capture my day by writing in my journal;13;08:57:23
11;Test4;2;Call Grandpa regularly;12;08:57:23
12;asdfghjklqwertzuiopm;3;Go outside for a run at least about twice a week;11;08:57:23
